,2023-03-24,2023-03-28,2023-04-01,2023-04-05,2023-04-09,2023-04-13,2023-04-17,2023-04-21,2023-04-25,2023-04-29,2023-05-03,2023-05-07,2023-05-11,2023-05-15,2023-05-19,2023-05-23,2023-05-27,2023-05-31,2023-06-04,2023-06-08,2023-06-12,2023-06-16,2023-06-20,2023-06-24,2023-06-28,2023-07-02,2023-07-06,2023-07-10,2023-07-14,2023-07-18,2023-07-22
2023-05-03,,,,,,,,,,,1.0,1.000014048690218,0.9999566882426063,0.9999898791589782,0.9999253343263224,0.999903454886024,0.9998405496050033,0.9998056937936646,0.9999465281290099,0.999840832650953,0.9996988280287916,0.9997030789515845,0.9996614682962357,0.9996657898859596,0.9998328824001382,0.9998145501047643,0.9997689768946453,0.9997655272273379,0.9998930385056038,0.9998758289330271,0.99979060924557
2023-05-07,,,,,,,,,,,,1.0,0.999984197037238,1.0000152716466586,0.9999795455247372,0.9999667213984939,0.9999230879251235,0.9998975922387792,0.9999982200172826,0.9999312662102766,0.999825255761689,0.9998288573238494,0.9997966729866092,0.9998004024543528,0.9999334913089761,0.9999210343669381,0.9998877072049409,0.9998850075572391,0.9999854840190625,0.9999727364414994,0.9999074676403847
2023-05-11,,,,,,,,,,,,,1.0,1.0000284123658363,1.000028934124771,1.0000275006844792,1.0000081110898746,0.9999943912564869,1.000044439374127,1.0000262216825893,0.9999654995316759,0.9999682839634779,0.9999479611978883,0.9999509455241206,1.0000412481743108,1.0000361834172236,1.0000182646176643,1.0000165087083068,1.0000829696299116,1.000075835831068,1.0000356694188455
2023-05-15,,,,,,,,,,,,,,1.0,1.0000018859329194,1.0000008812437422,0.9999824047068891,0.9999691285092074,1.0000172714555104,1.000000888624067,0.999941872959032,0.9999446265507117,0.9999247508885888,0.9999277070781856,1.000016396531963,1.0000116101724772,0.9999942718948783,0.9999925515612276,1.0000577301656142,1.0000508078778225,1.0000115875205893
2023-05-19,,,,,,,,,,,,,,,1.0,1.000006284103701,1.0000033224924627,0.9999975828885369,1.0000133570984362,1.0000281621125386,0.9999981340629713,1.0000003645387012,0.9999880819670075,0.9999905610938893,1.0000518622546024,1.0000518071380622,1.0000443313546312,1.000043215122487,1.0000866209829964,1.0000832916718208,1.0000601386746943
2023-05-23,,,,,,,,,,,,,,,,0.9999999999999998,0.9999989186107494,0.9999940924046001,1.0000059438550273,1.0000245283035223,0.9999980135988964,1.0000001806584031,0.9999888184486245,0.9999912397382095,1.0000492211108605,1.0000497393897754,1.0000434589462563,1.0000424159369863,1.0000831827735257,1.0000802889232645,1.0000590833553478
2023-05-27,,,,,,,,,,,,,,,,,1.0,1.0000000638396693,0.9999909142463298,1.0000297331490653,1.0000220280923866,1.0000238556700838,1.0000174208941397,1.0000195325747951,1.0000597411685295,1.0000633293768761,1.0000634486114561,1.0000627976138576,1.0000894362751422,1.0000888737532416,1.0000780940967848
2023-05-31,,,,,,,,,,,,,,,,,,1.0,0.9999874844736376,1.0000295464110822,1.0000248562125538,1.000026629374354,1.0000209844056605,1.00002304645779,1.0000604063200482,1.0000644865766175,1.0000656315702479,1.0000650434065896,1.0000894175535628,1.0000892286962575,1.0000801201348655
2023-06-04,,,,,,,,,,,,,,,,,,,1.0,0.9999933128471644,0.9999433091824111,0.9999459001179247,0.9999283850953926,0.9999311929427896,1.0000113671699682,1.0000080516433993,0.9999937794721995,0.9999922469541598,1.0000506562464389,1.000044850994927,1.0000106259548465
2023-06-08,,,,,,,,,,,,,,,,,,,,0.9999999999999998,0.9999918751041831,0.9999937102093849,0.9999871655793889,0.9999892841120475,1.0000298884300916,1.0000334079731714,1.0000333842825044,1.0000327245494716,1.0000596779391535,1.0000590633701465,1.0000480511961611
